Sl.no.,English,Kuruk͟h,IPA
153,lake,"nāl, daryā                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",
154,sea,"samundr, daryā",
155,salt,bēk,
156,stone,pak͟hnā,
157,sand,caikur,
158,dust,dhūlī,
159,earth,k͟hēk͟hel,
160,cloud,badālī,
161,fog,"kuhas, dhũdh",
162,sky,merk͟hā,
163,wind,tākā,
164,snow,kībā,
165,ice,"kībā, barap",
166,smoke,"mōsgā,mojk͟hrnā",
167,fire,cicc,
168,ashes,cind,
169,burn,"ōlnā, ullkā",
170,road,dahrē,
171,mountain,partā,
172,red,khẽsõ,
173,green,haryār,
174,yellow,"balkā,hardiyar",
175,white,panḍrū,
176,black,mok͟hārō,
177,night,māk͟hā,
178,day,ullā,
179,year,"cān,bacchar",
180,warm,umhē,
181,cold,"kīrnā,kankan",
182,full,nindkā,
183,new,punā,
184,old,paccā,
185,good,dau,
186,bad,"maldau, malbes",
187,rotten,"kittkā, gandā",
188,dirty,soḍor-boḍor,
189,straight,"ujgō, sōjh",
190,round,"gōl,guṭindā",
191,sharp,un̕na,
192,dull,"baitāl,bhothā",
193,smooth,"cikan, saũra̕a",
194,wet,"caĩka, põena",
195,dry,khaikā,
196,correct,"Tthaukā, sādhnā",
197,near,heddē,
198,far,gecchā,
199,right,"tīnā,maṛi",
200,left,"lengā,ḍebba",
201,at,"nū, berā,gusan",
202,in,nū,
203,with,sangē,
204,and,"arā, darā, antī,  kī",
205,if,"hōlē,  tā",
206,because,"īgē,karnē,aõgē",
207,name,nāmē,
208,lightening,"camkārnā, laukārnā",
209,thunder,"guṛguṛrnā,ḍhurururū",
210,soil/ground,k͟hēk͟hel,
211,mud,k͟hajj,
212,gold,sonā,
213,silver,rūpā,
214,today,innā,
215,yesterday,cerō,
216,tomorrow,nēlā,
217,week,"haptā, ak͟hē",
218,month,"mahinā, candō",
219,morning,pairi,
220,noon,kukkcappōberā,
221,evening,puttbīrī,
222,paddy rice,tīk͟hīl,
223,uncooked rice,k͟hēss,
224,cooked rice,manḍī,
225,wheat,gohom,
226,corn,jinhor,
227,potato,aluā,
228,cauliflower,phulkubī,
229,cabbage,"kubī, -aṛk͟hā",
230,eggplant,bheṭangō,
231,peanut,badam,
232,branch,"ḍāṛā, ḍahuṛā",
233,bamboo,"bās, bāsā",
234,thorn,acc,
235,jackfruit,gaṭhrā,
236,coconut,narikel,
237,banana,kola,
238,mango,ṭaṭk͟hā,
239,sugarcane,kusarī,
240,betelnut,k͟hilī,
241,Lime for betelnut,cunnā,
242,liquor,"ark͟hī, boṛ̃ē",
243,milk,dudhī,
244,oil,isung,
245,meat,ahṛā,
246,onion,pē̃āj,
247,garlic,rasṛī̃,
248,pepper,"maric, golmaric",
249,elephant,hathī,
250,tigger,lakṛā,
251,bear,toṛangg meṛho,
251,deer,"sambar, harin",
252,monkey,bandrā,
253,rabbit,k͟herā,
254,crocodile,"godō, sõs, sũs",
255,house lizard,ṭikṭīki,
